Employee Id,Education Level,Department,Job Tenure,Technical Skills,Quality_of_Work,Workload,Peer_Feedback,Code_Quality,Project_Completion_Rate,Debugging_Skills,Time_Management,Learning_Growth,Performance
185,PhD,Python & ML,9,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Flask",Excellent,High,8,Good,75,Good,Good,No,Meets Expectations
186,Bachelor's,Frontend,1,"Angular JS, HTML, CSS, Bootstrap, Java Script",Good,Low,7,Good,18,Good,Excellent,No,Meets Expectations
187,Bachelor's,Frontend,0," HTML, CSS, Bootstrap, Java Script",Good,Low,3,Good,15,Good,Good,Yes,Meets Expectations
188,Master's,Mobile,9,"iOS, Android, React Native, Flutter",Good,Medium,9,Good,75,Good,Good,Yes,Meets Expectations
189,Master's,Mobile,4,"iOS, Android, React Native, Flutter",Good,High,2,Good,43,Good,Good,No,Needs Improvement
190,Bachelor's,Frontend,1,"Angular JS, HTML, CSS, Bootstrap, Java Script",Excellent,Medium,8,Excellent,89,Excellent,Good,Yes,Exceeds Expectations
191,Bachelor's,.Net,10,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,9,Good,85,Good,Good,No,Meets Expectations
192,PhD,Mobile,9,"iOS, Android, React Native, Flutter",Excellent,High,9,Good,92,Good,Good,Yes,Meets Expectations
193,Bachelor's,.Net,6,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Medium,7,Good,60,Good,Good,No,Meets Expectations
194,PhD,.Net,0,"C#, .Net Core Framework",Good,Low,3,Good,5,Poor,Poor,No,Needs Improvement
195,Bachelor's,Mobile,5,"iOS, Android, React Native, Flutter",Excellent,Medium,6,Good,60,Good,Good,No,Meets Expectations
196,Bachelor's,.Net,10,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,High,7,Excellent,82,Excellent,Excellent,No,Meets Expectations
197,Bachelor's,Python & ML,7,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,High,8,Excellent,90,Excellent,Excellent,No,Meets Expectations
198,Bachelor's,Database,0,"SSRS, MSSQL, Data Modelling",Good,Low,4,Good,20,Good,Poor,No,Needs Improvement
199,PhD,Mobile,0, Android,Good,Low,4,Good,10,Poor,Poor,No,Needs Improvement
200,PhD,.Net,10,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,High,8,Excellent,100,Excellent,Excellent,No,Meets Expectations
201,Master's,Python & ML,4,"Python,ML models, MSSQL, Postgresql, Django, Flask",Excellent,High,7,Good,85,Good,Good,Yes,Meets Expectations
202,Bachelor's,.Net,0,"C#, .Net Core Framework, ASP.Net",Good,Low,3,Good,20,Poor,Poor,No,Needs Improvement
203,Bachelor's,Mobile,2,"iOS, Flutter",Good,Low,5,Good,38,Poor,Poor,No,Needs Improvement
204,Master's,Python & ML,1,"Python, MSSQL, Django, Flask",Excellent,Low,8,Good,90,Excellent,Good,Yes,Exceeds Expectations
205,Bachelor's,DevOps,7,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,8,Excellent,88,Excellent,Excellent,Yes,Exceeds Expectations
206,Master's,.Net,2,"C#, .Net Core Framework, ASP.Net",Good,Low,4,Good,33,Poor,Poor,No,Needs Improvement
207,PhD,DevOps,10,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Excellent,99,Excellent,Excellent,No,Meets Expectations
208,PhD,Frontend,2,"Node JS, HTML, CSS, Bootstrap, Java Script",Good,Low,4,Good,19,Poor,Good,Yes,Meets Expectations
209,PhD,Mobile,1,"iOS, Flutter",Poor,Low,3,Poor,5,Poor,Poor,No,Needs Improvement
210,Master's,Frontend,0,"HTML, CSS, Bootstrap",Good,Low,5,Good,5,Poor,Good,Yes,Meets Expectations
211,Master's,Mobile,3,"iOS, Android, Flutter",Good,Medium,8,Good,86,Good,Good,No,Meets Expectations
212,PhD,Frontend,1," HTML, CSS, Bootstrap, Java Script",Good,Low,5,Good,45,Good,Excellent,No,Meets Expectations
213,PhD,Python & ML,1,"Python,ML models, MSSQL, Flask",Good,Medium,5,Good,10,Good,Good,Yes,Meets Expectations
214,Master's,.Net,0," .Net Core Framework, Visual Basic .Net",Good,Low,5,Good,5,Poor,Poor,No,Needs Improvement
215,PhD,Mobile,10,"iOS, Android, React Native, Flutter",Excellent,High,8,Excellent,95,Excellent,Excellent,Yes,Meets Expectations
216,Master's,Database,0,"MSSQL,Data Modelling",Poor,Low,2,Poor,5,Poor,Poor,No,Needs Improvement
217,Master's,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,Medium,8,Excellent,88,Excellent,Excellent,Yes,Exceeds Expectations
218,Bachelor's,Python & ML,1,"Python,ML models",Good,Low,4,Good,15,Poor,Poor,No,Needs Improvement
219,Master's,DevOps,1," Git, Security, Automation",Good,Low,6,Good,50,Good,Good,Yes,Meets Expectations
220,Master's,.Net,1,"C#, .Net Core Framework, Visual Basic .Net",Good,Low,8,Good,25,Good,Good,Yes,Exceeds Expectations
221,Bachelor's,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,High,7,Good,82,Good,Good,Yes,Meets Expectations
222,PhD,DevOps,5,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Excellent,98,Excellent,Excellent,Yes,Exceeds Expectations
223,PhD,Frontend,7,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,9,Good,98,Good,Good,Yes,Meets Expectations
224,Master's,Mobile,3," Android, Flutter",Good,Low,8,Good,65,Good,Good,Yes,Meets Expectations
225,Bachelor's,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling",Good,Medium,4,Good,45,Good,Good,No,Needs Improvement
226,Master's,Database,9,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,High,7,Excellent,23,Excellent,Excellent,Yes,Meets Expectations
227,PhD,Mobile,4,iOS,Excellent,High,8,Excellent,75,Good,Good,No,Meets Expectations
228,Bachelor's,Frontend,2,"Angular JS, HTML, CSS, Bootstrap, Java Script",Excellent,Medium,8,Good,89,Good,Good,Yes,Exceeds Expectations
229,PhD,Python & ML,2,"Python, MSSQL,  Django, Flask",Excellent,High,7,Good,75,Good,Excellent,Yes,Exceeds Expectations
230,Master's,Mobile,5,"iOS, Android,  Flutter",Good,Medium,7,Good,50,Good,Good,Yes,Meets Expectations
231,Bachelor's,Python & ML,3,"Python,ML models, MSSQL, Postgresql, Django, Flask",Good,High,8,Excellent,85,Excellent,Excellent,Yes,Exceeds Expectations
232,PhD,DevOps,2,"Jenkins, Git,  Security, Automation",Excellent,Low,7,Good,97,Good,Good,Yes,Exceeds Expectations
233,PhD,Database,6,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, Data Warehouse",Good,Medium,7,Good,50,Good,Good,Yes,Meets Expectations
234,Master's,.Net,1,"C#, .Net Core Framework, Visual Basic .Net",Good,Low,5,Good,5,Poor,Poor,No,Needs Improvement
235,PhD,DevOps,10,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Good,98,Good,Good,No,Meets Expectations
236,Master's,Database,8,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,High,9,Excellent,99,Excellent,Excellent,Yes,Exceeds Expectations
237,Master's,Python & ML,9,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,Medium,9,Good,98,Good,Good,Yes,Meets Expectations
238,Master's,Mobile,10,"iOS, Android, React Native, Flutter",Excellent,High,7,Good,97,Good,Good,Yes,Meets Expectations
239,PhD,.Net,8,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,High,6,Good,85,Good,Good,No,Meets Expectations
240,Master's,Database,2,"SSRS, MSSQL,MongoDB, Data Modelling, PowerBI",Good,Low,5,Good,69,Good,Good,Yes,Meets Expectations
241,PhD,Frontend,2,"HTML, CSS, Bootstrap, Java Script",Good,Medium,4,Good,50,Good,Good,No,Needs Improvement
242,PhD,Python & ML,9,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,High,8,Excellent,98,Excellent,Good,No,Meets Expectations
243,PhD,Mobile,3,"Android, Flutter",Poor,Low,4,Poor,15,Poor,Poor,No,Needs Improvement
244,Bachelor's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,High,9,Excellent,75,Excellent,Good,Yes,Exceeds Expectations
245,Master's,Frontend,5,"Angular JS, HTML, CSS, Bootstrap, Java Script",Excellent,Medium,8,Excellent,85,Excellent,Good,Yes,Exceeds Expectations
246,Master's,Python & ML,5,"Python,ML models, DL models, TensorFlow,MSSQL, Django, Flask",Good,Medium,8,Excellent,85,Excellent,Excellent,Yes,Exceeds Expectations
247,Master's,Python & ML,2,"Python,ML models , Flask",Poor,Low,2,Poor,2,Poor,Poor,No,Needs Improvement
248,Master's,Mobile,1, Android,Good,Low,7,Good,25,Good,Good,No,Exceeds Expectations
249,Bachelor's,Database,7,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI,  SSIS, Data Warehouse, Data Mining",Good,Medium,6,Good,70,Good,Good,Yes,Meets Expectations
250,Master's,Python & ML,3,"Python,ML models, DL models, TensorFlow,MSSQL, Django, Flask",Good,Low,6,Good,50,Good,Good,Yes,Meets Expectations
251,Bachelor's,Mobile,6,"iOS, Android, React Native, Flutter",Good,High,8,Good,80,Good,Good,Yes,Meets Expectations
252,Bachelor's,Python & ML,7,"Python,ML models, DL models, MSSQL, Postgresql, Flask",Excellent,High,8,Excellent,85,Excellent,Excellent,Yes,Exceeds Expectations
253,PhD,Database,3,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,Low,6,Good,60,Good,Good,Yes,Meets Expectations
254,PhD,Database,9,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,Medium,9,Excellent,80,Excellent,Excellent,Yes,Exceeds Expectations
255,Master's,Database,5,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI,SSIS",Excellent,Medium,8,Good,59,Good,Good,Yes,Meets Expectations
256,Master's,.Net,5,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,Medium,6,Good,76,Good,Good,Yes,Meets Expectations
257,Bachelor's,Frontend,8,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,7,Good,90,Good,Good,No,Meets Expectations
258,Bachelor's,Python & ML,1,"Python,ML models, DL models, Flask",Poor,Low,4,Poor,35,Good,Poor,No,Needs Improvement
259,Bachelor's,Database,10,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,Medium,8,Excellent,92,Excellent,Excellent,Yes,Exceeds Expectations
260,PhD,.Net,4,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,Medium,7,Good,72,Good,Good,Yes,Meets Expectations
261,Master's,Python & ML,7,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,High,6,Good,70,Good,Good,Yes,Meets Expectations
262,Bachelor's,Python & ML,5,"Python,ML models, DL models, TensorFlow, MSSQL, Postgresql, Django",Excellent,Medium,7,Good,80,Good,Excellent,Yes,Exceeds Expectations
263,Bachelor's,.Net,1,"C#, .Net Core Framework, Entity Framework, MVC",Poor,Low,4,Poor,45,Good,Good,No,Needs Improvement
264,Master's,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,Medium,6,Good,65,Good,Good,Yes,Meets Expectations
265,Master's,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,High,7,Good,80,Good,Good,Yes,Meets Expectations
266,Master's,Python & ML,2,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,High,6,Good,60,Good,Good,Yes,Meets Expectations
267,Bachelor's,Database,3,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,Medium,5,Good,63,Good,Good,Yes,Meets Expectations
268,Bachelor's,DevOps,2,"Jenkins, Git, Ansible, Security",Good,Medium,6,Good,69,Good,Good,Yes,Meets Expectations
269,Master's,DevOps,3,"Jenkins, Git, Ansible, Security, Automation",Good,High,8,Good,72,Good,Good,Yes,Meets Expectations
270,Master's,.Net,3,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ",Good,Medium,8,Good,60,Good,Good,Yes,Meets Expectations
271,Bachelor's,Database,1,"SSRS, MSSQL, MySQL, Oracle, Data Modelling, Data Mining",Good,Medium,5,Poor,45,Poor,Good,No,Needs Improvement
272,Master's,Python & ML,2,"Python,ML models, DL models, TensorFlow",Good,Medium,7,Good,65,Good,Good,Yes,Meets Expectations
273,Master's,DevOps,3,"Jenkins, Git, Ansible, Security, Automation",Good,Medium,6,Good,70,Good,Good,Yes,Meets Expectations
274,Master's,Python & ML,2,"Python,ML models, DL models,Postgresql",Good,High,7,Good,60,Good,Good,Yes,Meets Expectations
275,Bachelor's,Mobile,1,"Android,React Native, Flutter",Excellent,High,7,Excellent,85,Excellent,Excellent,Yes,Exceeds Expectations
276,Bachelor's,Mobile,3,"iOS, Android, React Native, Flutter",Good,Medium,6,Good,70,Excellent,Good,Yes,Meets Expectations
277,Master's,.Net,1,"C#, .Net Core Framework,ADO.Net, Visual Basic .Net, MVC",Good,Medium,6,Good,68,Good,Good,Yes,Meets Expectations
278,Bachelor's,DevOps,3,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,Medium,8,Good,82,Good,Good,Yes,Meets Expectations
279,Master's,Mobile,5,"iOS, Android, React Native, Flutter",Good,High,7,Excellent,85,Good,Good,Yes,Meets Expectations
280,Master's,Mobile,6,"iOS, Android, React Native, Flutter",Excellent,Medium,8,Excellent,80,Excellent,Excellent,Yes,Exceeds Expectations
281,Master's,DevOps,2,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,6,Good,55,Good,Excellent,Yes,Meets Expectations
282,Master's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script, Vue",Good,Medium,9,Excellent,90,Good,Excellent,Yes,Exceeds Expectations
283,Bachelor's,Frontend,5,"Node JS, HTML, CSS, Bootstrap, Java Script",Good,High,7,Excellent,69,Excellent,Good,Yes,Meets Expectations
284,Bachelor's,Frontend,7,"Angular JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,6,Good,78,Good,Excellent,Yes,Meets Expectations
285,Master's,.Net,2,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net",Excellent,Medium,7,Good,60,Good,Excellent,No,Meets Expectations
286,Bachelor's,.Net,3,"C#, .Net Core Framework, Visual Basic .Net, Entity Framework",Poor,Medium,5,Good,45,Poor,Good,No,Needs Improvement
287,PhD,Frontend,4,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Low,5,Poor,55,Good,Good,No,Needs Improvement
288,Bachelor's,DevOps,1,"Jenkins, Git, Ansible, Security, Automation",Good,Medium,5,Good,59,Good,Good,No,Meets Expectations
289,Master's,Database,2,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI",Excellent,Medium,8,Good,70,Good,Good,Yes,Meets Expectations
290,Bachelor's,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData",Good,Medium,7,Excellent,77,Excellent,Good,No,Meets Expectations
291,Bachelor's,Mobile,6,"iOS, Android, React Native, Flutter",Good,High,8,Good,80,Good,Good,Yes,Meets Expectations
292,Bachelor's,Python & ML,7,"Python,ML models, DL models, MSSQL, Postgresql, Flask",Excellent,High,8,Excellent,85,Excellent,Excellent,Yes,Exceeds Expectations
293,PhD,Database,3,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,Low,6,Good,60,Good,Good,Yes,Meets Expectations
294,Master's,.Net,2,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net",Excellent,Medium,7,Good,60,Good,Excellent,No,Meets Expectations
295,Bachelor's,.Net,3,"C#, .Net Core Framework, Visual Basic .Net, Entity Framework",Poor,Medium,5,Good,45,Poor,Good,No,Needs Improvement
296,Master's,.Net,1,"C#, .Net Core Framework, ASP.Net",Poor,Low,5,Poor,10,Poor,Poor,No,Needs Improvement
297,PhD,Python & ML,3,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,Medium,7,Good,75,Excellent,Good,Yes,Meets Expectations
298,PhD,.Net,3,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,Medium,5,Good,59,Good,Excellent,Yes,Meets Expectations
299,Bachelor's,Frontend,7,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,High,7,Good,83,Good,Good,No,Meets Expectations
300,Master's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script, Vue",Good,High,9,Good,80,Good,Excellent,Yes,Meets Expectations
301,Bachelor's,Mobile,3,"iOS, Android, React Native, Flutter",Good,Medium,6,Good,56,Excellent,Good,Yes,Meets Expectations
302,Bachelor's,DevOps,2,"Jenkins, Git, Ansible, Security",Good,Medium,6,Good,69,Excellent,Good,No,Meets Expectations
303,Master's,DevOps,3,"Jenkins, Git, Ansible, Security, Automation",Good,High,8,Excellent,72,Excellent,Excellent,Yes,Meets Expectations
304,Master's,.Net,3,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ",Good,High,8,Good,65,Good,Good,Yes,Meets Expectations
305,Bachelor's,Database,1,"SSRS, MSSQL, MySQL, Oracle, Data Modelling, Data Mining",Good,Medium,5,Poor,55,Poor,Good,No,Needs Improvement
306,Master's,Python & ML,2,"Python,ML models, DL models, TensorFlow",Good,Medium,7,Good,60,Good,Excellent,Yes,Meets Expectations
307,Master's,DevOps,3,"Jenkins, Git, Ansible, Security, Automation",Good,Medium,6,Excellent,75,Good,Excellent,Yes,Meets Expectations
308,Master's,Python & ML,2,"Python,ML models, DL models,Postgresql",Good,High,7,Good,72,Good,Good,Yes,Meets Expectations
309,Bachelor's,DevOps,1,"Jenkins, Git, Ansible, Security",Good,Medium,5,Poor,46,Poor,Good,No,Needs Improvement
310,Master's,DevOps,8,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Good,77,Good,Excellent,Yes,Exceeds Expectations
311,PhD,Mobile,3,"iOS, Android, React Native, Flutter",Good,Medium,7,Excellent,70,Excellent,Good,Yes,Meets Expectations
312,PhD,Database,3,"SSRS, MSSQL, MySQL,Data Modelling, PowerBI,SSIS, Data Mining",Excellent,Medium,7,Excellent,86,Excellent,Good,Yes,Exceeds Expectations
313,Master's,Mobile,4,"iOS, Android, React Native, Flutter",Good,Medium,6,Good,60,Poor,Good,Yes,Meets Expectations
314,Bachelor's,Database,10,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,Medium,9,Excellent,70,Excellent,Excellent,Yes,Exceeds Expectations
315,PhD,.Net,10,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,8,Good,85,Excellent,Excellent,Yes,Exceeds Expectations
316,PhD,Frontend,4,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Low,7,Good,80,Good,Good,Yes,Meets Expectations
317,PhD,Mobile,2,"iOS, Android, React Native, Flutter",Good,Medium,6,Good,65,Good,Excellent,Yes,Meets Expectations
318,Bachelor's,Python & ML,2,"Python, MSSQL, Postgresql, Django, Flask",Good,High,7,Excellent,65,Good,Excellent,Yes,Meets Expectations
319,PhD,Mobile,2,"iOS, Android, React Native, Flutter",Good,High,6,Good,55,Good,Excellent,Yes,Meets Expectations
320,Master's,.Net,1,"C#, .Net Core Framework, ASP.Net",Poor,Low,5,Poor,10,Poor,Poor,No,Needs Improvement
321,PhD,Python & ML,3,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,Medium,8,Good,75,Excellent,Good,Yes,Meets Expectations
322,PhD,.Net,3,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,Medium,5,Good,59,Good,Excellent,Yes,Meets Expectations
323,Bachelor's,Frontend,7,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,High,7,Good,83,Good,Good,Yes,Meets Expectations
324,Master's,Frontend,6,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script, Vue",Good,Low,3,Good,55,Good,Good,No,Needs Improvement
325,Bachelor's,Mobile,3,"iOS, Android, React Native, Flutter",Good,Medium,6,Good,56,Excellent,Good,Yes,Meets Expectations
326,Bachelor's,DevOps,2,"Jenkins, Git, Ansible, Security",Good,Medium,0,Good,55,Good,Good,No,Needs Improvement
327,PhD,Python & ML,7,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,High,7,Excellent,95,Excellent,Good,Yes,Exceeds Expectations
328,Master's,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, SSIS, Data Warehouse, Data Mining",Good,Medium,7,Good,55,Good,Excellent,Yes,Meets Expectations
329,PhD,DevOps,6,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,8,Good,70,Good,Excellent,No,Meets Expectations
330,PhD,Mobile,3,"iOS, Android, React Native, Flutter",Excellent,Medium,7,Good,89,Excellent,Good,No,Meets Expectations
331,PhD,Database,1,"SSRS, MSSQL, MySQL, PowerBI",Good,Medium,7,Good,50,Good,Excellent,No,Meets Expectations
332,Bachelor's,Mobile,3,"iOS, Android, React Native, Flutter",Good,High,7,Good,75,Good,Good,No,Meets Expectations
333,Bachelor's,Python & ML,2,"Python,ML models, DL models, MSSQL",Good,Medium,6,Good,70,Excellent,Excellent,No,Meets Expectations
334,PhD,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, SSIS",Good,High,7,Good,75,Good,Good,No,Meets Expectations
335,PhD,Database,7,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,Medium,8,Good,60,Good,Excellent,No,Meets Expectations
336,Bachelor's,Python & ML,1,"Python,ML models, DL models",Good,Medium,5,Good,45,Poor,Good,No,Needs Improvement
337,PhD,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,Medium,7,Good,70,Good,Good,No,Meets Expectations
338,PhD,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI",Excellent,Medium,8,Good,80,Excellent,Excellent,Yes,Exceeds Expectations
339,Master's,Database,2,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling",Excellent,Medium,7,Good,70,Good,Excellent,No,Meets Expectations
340,Bachelor's,Mobile,3,"iOS, Android, React Native, Flutter",Good,Medium,6,Good,56,Excellent,Good,No,Meets Expectations
341,Bachelor's,DevOps,2,"Jenkins, Git, Ansible, Security",Good,Medium,6,Good,69,Excellent,Good,No,Meets Expectations
342,Master's,DevOps,3,"Jenkins, Git, Ansible, Security, Automation",Good,High,8,Excellent,72,Excellent,Excellent,No,Meets Expectations
343,Master's,.Net,3,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ",Good,High,8,Good,65,Good,Good,No,Meets Expectations
344,Bachelor's,Database,1,"SSRS, MSSQL, MySQL, Oracle, Data Modelling, Data Mining",Good,Medium,5,Poor,55,Poor,Good,No,Needs Improvement
345,Master's,DevOps,8,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Good,77,Good,Excellent,Yes,Exceeds Expectations
346,PhD,Mobile,3,"iOS, Android, React Native, Flutter",Good,Medium,7,Excellent,70,Excellent,Good,No,Meets Expectations
347,PhD,Database,3,"SSRS, MSSQL, MySQL,Data Modelling, PowerBI,SSIS, Data Mining",Excellent,Medium,7,Excellent,86,Excellent,Good,Yes,Exceeds Expectations
348,Master's,Mobile,4,"iOS, Android, React Native, Flutter",Good,Medium,6,Good,60,Poor,Good,No,Meets Expectations
349,Bachelor's,Database,10,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,Medium,9,Excellent,70,Excellent,Excellent,Yes,Exceeds Expectations
350,PhD,.Net,10,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,8,Good,85,Excellent,Excellent,Yes,Exceeds Expectations
351,PhD,Frontend,4,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Low,7,Good,80,Good,Good,Yes,Meets Expectations
352,Master's,Database,5,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI,SSIS",Excellent,Medium,8,Good,59,Good,Excellent,Yes,Meets Expectations
353,Master's,.Net,5,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,Medium,6,Good,76,Good,Good,Yes,Meets Expectations
354,Bachelor's,Frontend,8,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,7,Good,90,Excellent,Good,No,Meets Expectations
355,Bachelor's,Python & ML,1,"Python,ML models, DL models, Flask",Poor,Low,4,Poor,35,Good,Poor,No,Needs Improvement
356,Master's,Database,1,"SSRS, MSSQL, MySQL, Oracle, MongoDB",Good,Medium,6,Good,60,Good,Good,No,Meets Expectations
357,Bachelor's,DevOps,3,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,7,Excellent,70,Excellent,Good,No,Meets Expectations
358,Bachelor's,Python & ML,3,"Python,ML models, DL models, TensorFlow",Good,Medium,6,Good,55,Excellent,Good,No,Meets Expectations
359,PhD,Database,5,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Good,Medium,7,Excellent,86,Excellent,Good,No,Meets Expectations
360,Master's,.Net,2,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,7,Excellent,75,Good,Good,No,Meets Expectations
361,PhD,DevOps,6,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,High,8,Excellent,80,Good,Good,No,Meets Expectations
362,Master's,Database,4,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, Data Mining",Good,Medium,7,Good,85,Good,Excellent,No,Meets Expectations
